date,clicks,impressions,ctr,position
2026-01-24,7,299,0.023411371237458192,7.8595317725752505
2026-01-25,4,367,0.010899182561307902,6.446866485013624
2026-01-26,11,335,0.03283582089552239,7.567164179104478
2026-01-27,11,373,0.029490616621983913,5.943699731903485
2026-01-28,5,402,0.012437810945273632,5.686567164179104
2026-01-29,10,397,0.02518891687657431,6.954659949622166
2026-01-30,10,357,0.028011204481792718,7.8655462184873945
2026-01-31,5,286,0.017482517482517484,7.601398601398602
2026-02-01,10,358,0.027932960893854747,6.022346368715084
2026-02-02,6,413,0.014527845036319613,6.3559322033898304
2026-02-03,20,363,0.05509641873278237,5.666666666666667
2026-02-04,10,371,0.026954177897574125,6.132075471698113
2026-02-05,8,344,0.023255813953488372,6.441860465116279
2026-02-06,8,268,0.029850746268656716,7.41044776119403
2026-02-07,3,275,0.01090909090909091,7.458181818181818
2026-02-08,7,252,0.027777777777777776,6.646825396825397
2026-02-09,10,378,0.026455026455026454,7.436507936507937
2026-02-10,7,300,0.023333333333333334,8.053333333333335
2026-02-11,14,333,0.042042042042042045,7.714714714714715
2026-02-12,7,332,0.02108433734939759,6.885542168674699
2026-02-13,10,343,0.029154518950437316,6.431486880466473
2026-02-14,12,308,0.03896103896103896,7.464285714285714
2026-02-15,18,422,0.04265402843601896,7.687203791469194
2026-02-16,10,350,0.02857142857142857,6.117142857142857
2026-02-17,3,351,0.008547008547008548,6.689458689458689
2026-02-18,8,457,0.0175054704595186,6.785557986870897
2026-02-19,12,450,0.02666666666666667,6.184444444444445
2026-02-20,10,482,0.02074688796680498,4.545643153526971
2026-02-21,7,513,0.01364522417153996,5.159844054580897
2026-02-22,13,483,0.026915113871635612,5.629399585921325
2026-02-23,11,1368,0.00804093567251462,3.263888888888889
2026-02-24,9,426,0.02112676056338028,6.223004694835681
2026-02-25,11,406,0.027093596059113302,7.9655172413793105
2026-02-26,10,332,0.030120481927710843,6.864457831325301
2026-02-27,10,339,0.029498525073746312,7.091445427728614
2026-02-28,8,394,0.02030456852791878,7.073604060913706
2026-03-01,7,333,0.021021021021021023,6.933933933933934
2026-03-02,10,377,0.026525198938992044,7.376657824933687
2026-03-03,7,301,0.023255813953488372,9.079734219269103
2026-03-04,11,440,0.025,8.477272727272727
2026-03-05,4,404,0.009900990099009901,7.336633663366337
2026-03-06,8,307,0.026058631921824105,8.410423452768729
2026-03-07,7,317,0.022082018927444796,6.624605678233438
2026-03-08,8,338,0.023668639053254437,7.514792899408284
2026-03-09,9,310,0.02903225806451613,7.877419354838709
2026-03-10,13,310,0.041935483870967745,7.819354838709677
2026-03-11,4,324,0.012345679012345678,8.287037037037038
2026-03-12,11,279,0.03942652329749104,7.85663082437276
2026-03-13,11,277,0.039711191335740074,7.036101083032491
2026-03-14,3,272,0.011029411764705883,8.606617647058822
2026-03-15,12,293,0.040955631399317405,6.030716723549488
2026-03-16,11,276,0.03985507246376811,6.699275362318841
2026-03-17,13,298,0.0436241610738255,6.369127516778524
2026-03-18,608,4858,0.12515438452037875,4.290037052284891
